SYMBOL,GID,GENENAME
CILP2,104829191,cartilage intermediate layer protein 2
YJEFN3,104829192,yjeF N-terminal domain-containing protein 3
NDUFA13,104829194,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
GATAD2A,104829120,transcriptional repressor p66-alpha isoform X1
MAU2,104829195,MAU2 chromatid cohesion factor homolog
SUGP1,104829122,SURP and G-patch domain-containing protein 1 isoform X1
TM6SF2,104829123,transmembrane 6 superfamily member 2
HAPLN4,104829196,hyaluronan and proteoglycan link protein 4
NCAN,104829197,neurocan core protein
NR2C2AP,104829124,nuclear receptor 2C2-associated protein
RFXANK,104829125,DNA-binding protein RFXANK
MEF2BNB,104829126,protein MEF2BNB isoform X1
TMEM221,104829198,transmembrane protein 221
LOC104829199,104829199,myocyte-specific enhancer factor 2B-like
TMEM161A,104829127,transmembrane protein 161A
SLC25A42,104829130,mitochondrial coenzyme A transporter SLC25A42 isoform X1
ARMC6,104829128,armadillo repeat-containing protein 6 isoform X1
SUGP2,104829131,SURP and G-patch domain-containing protein 2 isoform X1
HOMER3,104829133,homer protein homolog 3 isoform X1
DDX49,104829134,probable ATP-dependent RNA helicase DDX49
COPE,104829135,coatomer subunit epsilon
CERS1,104829136,ceramide synthase 1
GDF1,104829137,embryonic growth/differentiation factor 1
UPF1,104829138,regulator of nonsense transcripts 1 isoform X1
COMP,104829140,cartilage oligomeric matrix protein
CRTC1,104829141,CREB-regulated transcription coactivator 1
KLHL26,104829142,kelch-like protein 26
TMEM59L,104829200,transmembrane protein 59-like
CRLF1,104829201,cytokine receptor-like factor 1
LOC104829202,104829202,uncharacterized protein C19orf60 homolog
UBA52,104829143,ubiquitin-60S ribosomal protein L40
KXD1,104829144,kxDL motif-containing protein 1
FKBP8,104829145,peptidyl-prolyl cis-trans isomerase FKBP8
ELL,104829146,RNA polymerase II elongation factor ELL
ISYNA1,104829203,inositol-3-phosphate synthase 1
FBXO21,104829205,F-box only protein 21 isoform X1
NOS1,104829234,"nitric oxide synthase, brain"
KSR2,104829235,kinase suppressor of Ras 2
RFC5,104829206,replication factor C subunit 5
WSB2,104829236,WD repeat and SOCS box-containing protein 2
RASAL1,104829237,rasGAP-activating-like protein 1
DTX1,104829207,E3 ubiquitin-protein ligase DTX1
EMID1,104829238,EMI domain-containing protein 1
EWSR1,104829239,LOW QUALITY PROTEIN: RNA-binding protein EWS
GAS2L1,104829240,GAS2-like protein 1
AP1B1,104829208,AP-1 complex subunit beta-1
NEFH,104829209,neurofilament heavy polypeptide
THOC5,104829210,THO complex subunit 5 homolog
NIPSNAP1,104829241,protein NipSnap homolog 1
NF2,104829211,merlin isoform X1
CABP7,104829213,calcium-binding protein 7
ZMAT5,104829214,zinc finger matrin-type protein 5
LOC104829216,104829216,cytochrome b-c1 complex subunit 9
ASCC2,104829215,activating signal cointegrator 1 complex subunit 2 isoform X1
MTMR3,104829217,myotubularin-related protein 3 isoform X1
LOC104829243,104829243,uncharacterized protein LOC104829243
HORMAD2,104829219,HORMA domain-containing protein 2
LIF,104829244,leukemia inhibitory factor
GATSL3,104829245,GATS-like protein 3
TBC1D10A,104829246,TBC1 domain family member 10A
SF3A1,104829220,splicing factor 3A subunit 1
CCDC157,104829247,coiled-coil domain-containing protein 157
RNF215,104829248,RING finger protein 215
SEC14L2,104829249,SEC14-like protein 2
MTFP1,104829250,mitochondrial fission process protein 1
GAL3ST1,104829221,galactosylceramide sulfotransferase
PES1,104829222,pescadillo homolog isoform X1
TCN2,104829251,transcobalamin-2
SLC35E4,104829252,solute carrier family 35 member E4
DUSP18,104829254,LOW QUALITY PROTEIN: dual specificity protein phosphatase 18
IQCD,104829255,IQ domain-containing protein D
OSBP2,104829223,oxysterol-binding protein 2 isoform X1
RTN4R,104829225,reticulon-4 receptor
LOC104829226,104829226,"LOW QUALITY PROTEIN: proline dehydrogenase 1, mitochondrial-like"
SCARF2,104829227,scavenger receptor class F member 2
DGCR6L,104829256,protein DGCR6L
SLC7A4,104829228,cationic amino acid transporter 4
LOC104829257,104829257,leucine-rich repeat-containing protein 74B-like
P2RX6,104829229,P2X purinoceptor 6
LOC104829258,104829258,transmembrane protein 17B-like
AIFM3,104829230,apoptosis-inducing factor 3 isoform X1
LOC104829259,104829259,caspase recruitment domain-containing protein 8-like
POLE,104829260,DNA polymerase epsilon catalytic subunit A
INPP5J,104829261,"phosphatidylinositol 4,5-bisphosphate 5-phosphatase A"
LOC104829231,104829231,selenoprotein M
SMTN,104829262,smoothelin
MORC2,104829232,MORC family CW-type zinc finger protein 2 isoform X1
F13B,104829263,coagulation factor XIII B chain
ASPM,104829286,abnormal spindle-like microcephaly-associated protein
ZBTB41,104829265,zinc finger and BTB domain-containing protein 41
CRB1,104829287,protein crumbs homolog 1
DENND1B,104829288,DENN domain-containing protein 1B
LHX9,104829266,LIM/homeobox protein Lhx9 isoform X1
NEK7,104829267,serine/threonine-protein kinase Nek7
ATP6V1G3,104829268,V-type proton ATPase subunit G 3
PTPRC,104829269,receptor-type tyrosine-protein phosphatase C isoform X1
NR5A2,104829271,nuclear receptor subfamily 5 group A member 2 isoform X1
ZNF281,104829289,zinc finger protein 281
KIF14,104829273,kinesin-like protein KIF14
DDX59,104829272,probable ATP-dependent RNA helicase DDX59
CAMSAP2,104829274,calmodulin-regulated spectrin-associated protein 2 isoform X1
WDR47,104829276,WD repeat-containing protein 47 isoform X1
CLCC1,104829278,chloride channel CLIC-like protein 1
GPSM2,104829277,G-protein-signaling modulator 2 isoform X1
STXBP3,104829279,syntaxin-binding protein 3 isoform X1
AKNAD1,104829290,protein AKNAD1
FNDC7,104829280,fibronectin type III domain-containing protein 7
PRPF38B,104829281,pre-mRNA-splicing factor 38B
HENMT1,104829282,small RNA 2'-O-methyltransferase
FAM102B,104829291,protein FAM102B
SLC25A24,104829284,calcium-binding mitochondrial carrier protein SCaMC-1
LOC104829285,104829285,uncharacterized LOC104829285
VAV3,104829292,guanine nucleotide exchange factor VAV3
FER,104829293,tyrosine-protein kinase Fer isoform X1
PJA2,104829295,E3 ubiquitin-protein ligase Praja-2
MAN2A1,104829309,alpha-mannosidase 2
SLC25A46,104829296,solute carrier family 25 member 46
WDR36,104829297,WD repeat-containing protein 36
CAMK4,104829298,calcium/calmodulin-dependent protein kinase type IV
STARD4,104829299,stAR-related lipid transfer protein 4
LOC104829300,104829300,uncharacterized LOC104829300
LOC104829301,104829301,uncharacterized LOC104829301
EPB41L4A,104829302,band 4.1-like protein 4A
APC,104829303,adenomatous polyposis coli protein isoform X1
SRP19,104829305,signal recognition particle 19 kDa protein
REEP5,104829306,receptor expression-enhancing protein 5
DCP2,104829307,m7GpppN-mRNA hydrolase
MCC,104829308,colorectal mutant cancer protein
LOC104829338,104829338,lysosomal acid lipase/cholesteryl ester hydrolase-like
LOC104829340,104829340,LOW QUALITY PROTEIN: lipase member M-like
TMEM72,104829310,transmembrane protein 72
CXCL12,104829311,stromal cell-derived factor 1
ERCC6,104829312,DNA excision repair protein ERCC-6 isoform X1
LOC104829341,104829341,bone morphogenetic protein 7-like
DRGX,104829314,dorsal root ganglia homeobox protein
LOC104829315,104829315,uncharacterized protein C10orf71 homolog
LOC104829316,104829316,putative uncharacterized protein C10orf128
VSTM4,104829317,V-set and transmembrane domain-containing protein 4
WDFY4,104829342,WD repeat- and FYVE domain-containing protein 4
LRRC18,104829337,leucine-rich repeat-containing protein 18
ARHGAP22,104829318,rho GTPase-activating protein 22
MAPK8,104829319,mitogen-activated protein kinase 8 isoform X1
FRMPD2,104829343,FERM and PDZ domain-containing protein 2
GDF10,104829344,bone morphogenetic protein 3B
GDF2,104829320,growth/differentiation factor 2
RBP3,104829321,retinol-binding protein 3
ZNF488,104829323,zinc finger protein 488
ANTXRL,104829345,anthrax toxin receptor-like
LOC104829324,104829324,annexin A8-like isoform X1
LOC104829325,104829325,neuropeptide Y receptor type 4-like
LOC104829326,104829326,beta-microseminoprotein-like
TCEB2,104829346,transcription elongation factor B polypeptide 2
LOC104829347,104829347,beta-microseminoprotein-like
LOC104829327,104829327,beta-microseminoprotein-like
FAM21C,104829331,WASH complex subunit FAM21C isoform X1
ZFAND4,104829330,AN1-type zinc finger protein 4 isoform X1
8-Mar,104829328,E3 ubiquitin-protein ligase MARCH8 isoform X1
ALOX5,104829333,arachidonate 5-lipoxygenase
LOC104829335,104829335,cytochrome P450 2H1-like isoform X1
BLOC1S2,104829334,biogenesis of lysosome-related organelles complex 1 subunit 2 isoform X1
LOC104829336,104829336,ATP-binding cassette sub-family G member 2-like
PKD2L1,104829348,polycystic kidney disease 2-like 1 protein
EMB,104829349,embigin
PARP8,104829351,poly [ADP-ribose] polymerase 8 isoform X1
ISL1,104829352,insulin gene enhancer protein ISL-1
ITGA1,104829354,integrin alpha-1
PELO,104829353,protein pelota homolog
ITGA2,104829358,integrin alpha-2
LOC104829355,104829355,molybdopterin synthase catalytic subunit
LOC104829359,104829359,molybdopterin synthase sulfur carrier subunit-like
FST,104829356,follistatin
NDUFS4,104829360,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"
ARL15,104829361,ADP-ribosylation factor-like protein 15
HSPB3,104829362,heat shock protein beta-3
SNX18,104829363,sorting nexin-18
TM7SF3,104829364,transmembrane 7 superfamily member 3 isoform X1
MED21,104829365,mediator of RNA polymerase II transcription subunit 21 isoform X1
STK38L,104829367,serine/threonine-protein kinase 38-like isoform X1
ARNTL2,104829368,aryl hydrocarbon receptor nuclear translocator-like protein 2 isoform X1
PPFIBP1,104829370,liprin-beta-1 isoform X1
REP15,104829371,rab15 effector protein
LOC104829372,104829372,NADH-cytochrome b5 reductase 3
LOC104829373,104829373,poly(U)-specific endoribonuclease-like
LOC104829374,104829374,lactosylceramide 4-alpha-galactosyltransferase-like
LOC104829389,104829389,LOW QUALITY PROTEIN: lactosylceramide 4-alpha-galactosyltransferase-like
ARFGAP3,104829375,ADP-ribosylation factor GTPase-activating protein 3
PACSIN2,104829376,protein kinase C and casein kinase substrate in neurons protein 2 isoform X1
TTLL1,104829378,probable tubulin polyglutamylase TTLL1 isoform X1
LOC104829379,104829379,uncharacterized LOC104829379
MCAT,104829390,"malonyl-CoA-acyl carrier protein transacylase, mitochondrial"
TSPO,104829380,translocator protein
TTLL12,104829381,tubulin--tyrosine ligase-like protein 12
SCUBE1,104829382,"signal peptide, CUB and EGF-like domain-containing protein 1"
MPPED1,104829383,metallophosphoesterase domain-containing protein 1
EFCAB6,104829391,LOW QUALITY PROTEIN: EF-hand calcium-binding domain-containing protein 6
SULT4A1,104829384,sulfotransferase 4A1
PNPLA5,104829392,patatin-like phospholipase domain-containing protein 5
SAMM50,104829385,sorting and assembly machinery component 50 homolog isoform X1
PARVB,104829387,beta-parvin isoform X1
PARVG,104829388,gamma-parvin
KIAA1644,104829393,uncharacterized protein KIAA1644 homolog
EFNA5,104829394,ephrin-A5
FBXL17,104829396,F-box/LRR-repeat protein 17
SLC35A3,104829401,UDP-N-acetylglucosamine transporter
HIAT1,104829400,hippocampus abundant transcript 1 protein
SASS6,104829399,spindle assembly abnormal protein 6 homolog
TRMT13,104829398,tRNA:m(4)X modification enzyme TRM13 homolog isoform X1
LRRC39,104829397,leucine-rich repeat-containing protein 39
DBT,104829402,"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial isoform X1"
RTCA,104829404,RNA 3'-terminal phosphate cyclase isoform X1
VCAM1,104829413,vascular cell adhesion protein 1
GPR88,104829414,probable G-protein coupled receptor 88
CDC14A,104829405,dual specificity protein phosphatase CDC14A isoform X1
EXTL2,104829406,exostosin-like 2 isoform X1
SLC30A7,104829408,zinc transporter 7 isoform X1
DPH5,104829407,diphthine synthase
LOC104829415,104829415,LOW QUALITY PROTEIN: uncharacterized oxidoreductase ZK1290.5-like
S1PR1,104829410,sphingosine 1-phosphate receptor 1
OLFM3,104829411,noelin-3 isoform X1
LOC104829417,104829417,uncharacterized protein LOC104829417
COL11A1,104829412,collagen alpha-1(XI) chain
RNPC3,104829418,RNA-binding protein 40
LOC104829419,104829419,pancreatic alpha-amylase-like
LOC104829420,104829420,pancreatic alpha-amylase-like
LOC104829568,104829568,olfactory receptor 2D2-like
LOC104829569,104829569,olfactory receptor 5AS1-like
FTH1,104829421,ferritin heavy chain
LOC104829422,104829422,bestrophin-1-like isoform X1
RAB3IL1,104829424,guanine nucleotide exchange factor for Rab-3A isoform X1
FADS2,104829423,fatty acid desaturase 2
FADS1,104829426,fatty acid desaturase 1 isoform X1
LOC104829427,104829427,fatty acid desaturase 1-like
LOC104829570,104829570,fatty acid desaturase 1-like
CAT,104829428,catalase
ABTB2,104829429,ankyrin repeat and BTB/POZ domain-containing protein 2
NAT10,104829430,N-acetyltransferase 10
CAPRIN1,104829431,caprin-1 isoform X1
LMO2,104829433,rhombotin-2
FBXO3,104829435,F-box only protein 3
CD59,104829434,CD59 glycoprotein isoform X1
LOC104829437,104829437,golgin subfamily B member 1-like isoform X1
LOC104829436,104829436,"actin, alpha skeletal muscle B-like isoform X1"
SHANK2,104829438,SH3 and multiple ankyrin repeat domains protein 2
CTTN,104829439,src substrate cortactin
PPFIA1,104829440,liprin-alpha-1
FADD,104829441,FAS-associated death domain protein isoform X1
ANO1,104829442,anoctamin-1
FGF3,104829443,fibroblast growth factor 3
FGF4,104829444,fibroblast growth factor 4
FGF19,104829445,fibroblast growth factor 19
ORAOV1,104829447,oral cancer-overexpressed protein 1 isoform X1
CCND1,104829446,G1/S-specific cyclin-D1
TPCN2,104829448,two pore calcium channel protein 2
NADSYN1,104829571,glutamine-dependent NAD(+) synthetase
DHCR7,104829449,7-dehydrocholesterol reductase
ZDHHC13,104829450,palmitoyltransferase ZDHHC13
CSRP3,104829451,cysteine and glycine-rich protein 3
E2F8,104829452,transcription factor E2F8
NAV2,104829453,neuron navigator 2 isoform X1
DBX1,104829454,homeobox protein DBX1
PRMT3,104829455,protein arginine N-methyltransferase 3 isoform X1
SLC6A5,104829457,sodium- and chloride-dependent glycine transporter 2
NELL1,104829458,protein kinase C-binding protein NELL1 isoform X1
ANO5,104829459,anoctamin-5 isoform X1
SLC17A6,104829460,vesicular glutamate transporter 2
FANCF,104829572,Fanconi anemia group F protein
GAS2,104829461,growth arrest-specific protein 2
SVIP,104829462,small VCP/p97-interacting protein
LUZP2,104829463,leucine zipper protein 2
ANO3,104829464,anoctamin-3 isoform X1
SLC5A12,104829573,sodium-coupled monocarboxylate transporter 2
FIBIN,104829465,fin bud initiation factor homolog
BBOX1,104829466,gamma-butyrobetaine dioxygenase
CCDC34,104829574,coiled-coil domain-containing protein 34
LIN7C,104829467,protein lin-7 homolog C
BDNF,104829468,brain-derived neurotrophic factor
KIF18A,104829471,kinesin-like protein KIF18A
METTL15,104829469,probable methyltransferase-like protein 15
KCNA4,104829472,potassium voltage-gated channel subfamily A member 4 isoform X1
FSHB,104829473,follitropin subunit beta
ARL14EP,104829474,ARL14 effector protein
MPPED2,104829475,metallophosphoesterase MPPED2
DNAJC24,104829476,dnaJ homolog subfamily C member 24
IMMP1L,104829477,mitochondrial inner membrane protease subunit 1
ELP4,104829575,elongator complex protein 4
PAX6,104829478,paired box protein Pax-6 isoform X1
RCN1,104829576,reticulocalbin-1
WT1,104829480,Wilms tumor protein isoform X1
EIF3M,104829482,eukaryotic translation initiation factor 3 subunit M
CCDC73,104829481,coiled-coil domain-containing protein 73
PRRG4,104829577,transmembrane gamma-carboxyglutamic acid protein 4
QSER1,104829483,glutamine and serine-rich protein 1
DEPDC7,104829579,DEP domain-containing protein 7
TCP11L1,104829485,T-complex protein 11-like protein 1 isoform X1
CSTF3,104829484,cleavage stimulation factor subunit 3 isoform X1
HIPK3,104829486,homeodomain-interacting protein kinase 3
KIAA1549L,104829580,UPF0606 protein KIAA1549L homolog
SPON1,104829487,spondin-1
SYT9,104829581,synaptotagmin-9
OLFML1,104829488,olfactomedin-like protein 1
PPFIBP2,104829582,liprin-beta-2
LOC104829583,104829583,NADH-cytochrome b5 reductase 2
OVCH2,104829489,ovochymase-2
FAR1,104829490,fatty acyl-CoA reductase 1 isoform X1
PTH,104829491,parathyroid hormone
BTBD10,104829492,BTB/POZ domain-containing protein 10 isoform X1
ARNTL,104829493,aryl hydrocarbon receptor nuclear translocator-like protein 1 isoform X1
LOC104829494,104829494,uncharacterized gene
RASSF10,104829584,ras association domain-containing protein 10
TEAD1,104829495,transcriptional enhancer factor TEF-1 isoform X1
PARVA,104829497,alpha-parvin
MICALCL,104829585,MICAL C-terminal-like protein
MICAL2,104829498,protein-methionine sulfoxide oxidase MICAL2 isoform X1
DKK3,104829499,dickkopf-related protein 3
USP47,104829500,ubiquitin carboxyl-terminal hydrolase 47
GALNT18,104829586,polypeptide N-acetylgalactosaminyltransferase 18
EIF4G2,104829501,eukaryotic translation initiation factor 4 gamma 2 isoform X1
CTR9,104829502,RNA polymerase-associated protein CTR9 homolog
MRVI1,104829504,protein MRVI1
LYVE1,104829505,lymphatic vessel endothelial hyaluronic acid receptor 1
RNF141,104829506,RING finger protein 141
AMPD3,104829507,AMP deaminase 3 isoform X1
ADM,104829587,ADM
SBF2,104829509,myotubularin-related protein 13
LOC104829508,104829508,uncharacterized gene
SWAP70,104829589,switch-associated protein 70
WEE1,104829511,wee1-like protein kinase isoform X1
ZNF143,104829510,zinc finger protein 143
IPO7,104829512,importin-7
TMEM41B,104829590,transmembrane protein 41B
DENND5A,104829513,DENN domain-containing protein 5A
SCUBE2,104829591,"signal peptide, CUB and EGF-like domain-containing protein 2"
NRIP3,104829592,nuclear receptor-interacting protein 3
TMEM9B,104829593,transmembrane protein 9B
ASCL3,104829516,achaete-scute homolog 3
LOC104829515,104829515,uncharacterized protein C11orf16 homolog
AKIP1,104829514,A-kinase-interacting protein 1
ST5,104829518,suppression of tumorigenicity 5 protein
RPL27A,104829594,60S ribosomal protein L27a
TRIM66,104829519,tripartite motif-containing protein 66
LMO1,104829520,rhombotin-1
RIC3,104829521,protein RIC-3
TUB,104829522,tubby protein homolog
RRAS2,104829595,ras-related protein R-Ras2
COPB1,104829524,coatomer subunit beta
PSMA1,104829523,LOW QUALITY PROTEIN: proteasome subunit alpha type-1
PDE3B,104829525,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B isoform X1"
LOC104829596,104829596,vitamin D 25-hydroxylase
CALCB,104829526,calcitonin gene-related peptide 2 isoform X1
INSC,104829597,protein inscuteable homolog
SOX6,104829527,transcription factor SOX-6 isoform X1
LOC104829598,104829598,small acidic protein
PLEKHA7,104829528,pleckstrin homology domain-containing family A member 7
RPS13,104829530,40S ribosomal protein S13
PIK3C2A,104829531,phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha isoform X1
LOC104829533,104829533,uncharacterized LOC104829533
NUCB2,104829532,nucleobindin-2
KCNJ11,104829534,ATP-sensitive inward rectifier potassium channel 11
ABCC8,104829535,ATP-binding cassette sub-family C member 8
USH1C,104829599,harmonin
OTOG,104829536,otogelin
LOC104829600,104829600,ferritin-like
MYOD1,104829537,myoblast determination protein 1
KCNC1,104829538,potassium voltage-gated channel subfamily C member 1 isoform X1
SERGEF,104829539,secretion-regulating guanine nucleotide exchange factor isoform X1
TPH1,104829601,tryptophan 5-hydroxylase 1
SAAL1,104829540,protein SAAL1
LOC104829543,104829543,serum amyloid A protein-like
HPS5,104829542,Hermansky-Pudlak syndrome 5 protein isoform X1
GTF2H1,104829544,general transcription factor IIH subunit 1 isoform X1
LOC104829545,104829545,L-lactate dehydrogenase A chain
TSG101,104829550,tumor susceptibility gene 101 protein isoform X1
UEVLD,104829549,ubiquitin-conjugating enzyme E2 variant 3 isoform X1
SPTY2D1,104829546,protein SPT2 homolog isoform X1
TMEM86A,104829602,lysoplasmalogenase-like protein TMEM86A
IGSF22,104829603,LOW QUALITY PROTEIN: immunoglobulin superfamily member 22
PTPN5,104829551,tyrosine-protein phosphatase non-receptor type 5
PTPRJ,104829604,receptor-type tyrosine-protein phosphatase eta
OSBPL5,104829552,oxysterol-binding protein-related protein 5 isoform X1
LOC104829553,104829553,uncharacterized protein LOC104829553
CARS,104829554,"cysteine--tRNA ligase, cytoplasmic isoform X1"
NAP1L4,104829556,nucleosome assembly protein 1-like 4
PHLDA2,104829557,pleckstrin homology-like domain family A member 2
SLC22A18,104829605,solute carrier family 22 member 18
KCNQ1,104829558,potassium voltage-gated channel subfamily KQT member 1
TRPM5,104829559,transient receptor potential cation channel subfamily M member 5
TSSC4,104829560,protein TSSC4
CD81,104829563,CD81 antigen
TSPAN32,104829562,tetraspanin-32 isoform X1
ASCL2,104829606,achaete-scute homolog 2
TH,104829564,tyrosine 3-monooxygenase
INS,104829565,insulin
IGF2,104829566,insulin-like growth factor II
CREB3,104829629,cyclic AMP-responsive element-binding protein 3
TLN1,104829607,talin-1 isoform X1
TPM2,104829609,tropomyosin beta chain isoform X1
LOC104829611,104829611,gamma-secretase subunit Aph-1b-like isoform X1
CA9,104829612,carbonic anhydrase 9 isoform X1
HSH2D,104829614,hematopoietic SH2 domain-containing protein
LOC104829630,104829630,myosin-IIIb-like
ARHGEF39,104829615,rho guanine nucleotide exchange factor 39
MRPL17,104829616,"39S ribosomal protein L17, mitochondrial"
CCBE1,104829617,collagen and calcium-binding EGF domain-containing protein 1 isoform X1
PMAIP1,104829628,phorbol-12-myristate-13-acetate-induced protein 1
PDZD2,104829618,PDZ domain-containing protein 2
GOLPH3,104829619,Golgi phosphoprotein 3
MTMR12,104829631,myotubularin-related protein 12
ZFR,104829620,zinc finger RNA-binding protein isoform X1
SUB1,104829621,activated RNA polymerase II transcriptional coactivator p15 isoform X1
NPR3,104829632,atrial natriuretic peptide receptor 3
TARS,104829622,"threonine--tRNA ligase, cytoplasmic"
ADAMTS12,104829633,A disintegrin and metalloproteinase with thrombospondin motifs 12
RXFP3,104829634,relaxin-3 receptor 1
SLC45A2,104829623,membrane-associated transporter protein
AMACR,104829624,alpha-methylacyl-CoA racemase
C1QTNF3,104829625,complement C1q tumor necrosis factor-related protein 3 isoform X1
RAI14,104829627,ankycorbin isoform X1
RAD1,104829635,cell cycle checkpoint protein RAD1
KIAA0907,104829705,UPF0469 protein KIAA0907 homolog
RIT1,104829637,GTP-binding protein Rit1
SYT11,104829706,synaptotagmin-11
LOC104829638,104829638,GON-4-like protein isoform X1
MSTO1,104829707,protein misato homolog 1
DAP3,104829640,"28S ribosomal protein S29, mitochondrial isoform X1"
LOC104829639,104829639,uncharacterized LOC104829639
ASH1L,104829641,histone-lysine N-methyltransferase ASH1L isoform X1
RUSC1,104829708,RUN and SH3 domain-containing protein 1
FDPS,104829642,farnesyl pyrophosphate synthase isoform X1
HCN3,104829709,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3
CLK2,104829643,dual specificity protein kinase CLK2 isoform X1
FAM189B,104829710,protein FAM189B
LOC104829645,104829645,glucosylceramidase-like
LOC104829646,104829646,glucosylceramidase-like
LOC104829647,104829647,glucosylceramidase-like
MTX1,104829711,metaxin-1
KRTCAP2,104829649,keratinocyte-associated protein 2
THBS3,104829712,thrombospondin-3
TRIM46,104829648,tripartite motif-containing protein 46
DPM3,104829650,dolichol-phosphate mannosyltransferase subunit 3
SLC50A1,104829713,sugar transporter SWEET1
EFNA1,104829714,ephrin-A1
EFNA3,104829716,ephrin-A3
EFNA4,104829717,ephrin-A4
ADAM15,104829718,disintegrin and metalloproteinase domain-containing protein 15
DCST1,104829719,DC-STAMP domain-containing protein 1
DCST2,104829720,DC-STAMP domain-containing protein 2
ZBTB7B,104829721,zinc finger and BTB domain-containing protein 7B
LOC104829722,104829722,mothers against decapentaplegic homolog 6-like
FLAD1,104829723,FAD synthase
CKS1B,104829651,cyclin-dependent kinases regulatory subunit 1
SHC1,104829653,SHC-transforming protein 1 isoform X1
PYGO2,104829652,pygopus homolog 2
PMVK,104829724,phosphomevalonate kinase
KCNN3,104829725,small conductance calcium-activated potassium channel protein 3
ADAR,104829655,double-stranded RNA-specific adenosine deaminase
CHRNB2,104829727,neuronal acetylcholine receptor subunit beta-2
UBE2Q1,104829728,ubiquitin-conjugating enzyme E2 Q1
SHE,104829656,SH2 domain-containing adapter protein E
IL6R,104829729,interleukin-6 receptor subunit alpha
ATP8B2,104829730,phospholipid-transporting ATPase ID
AQP10,104829731,aquaporin-10
HAX1,104829732,HCLS1-associated protein X-1
UBAP2L,104829657,ubiquitin-associated protein 2-like isoform X1
LOC104829659,104829659,uncharacterized protein C1orf43 homolog isoform X1
TPM3,104829660,tropomyosin alpha-3 chain isoform X1
LOC104829662,104829662,uncharacterized LOC104829662
SSR2,104829663,translocon-associated protein subunit beta isoform X1
CCT3,104829666,T-complex protein 1 subunit gamma
LOC104829667,104829667,lysosomal protein NCU-G1
TMEM79,104829668,transmembrane protein 79
SMG5,104829669,protein SMG5 isoform X1
PAQR6,104829671,progestin and adipoQ receptor family member 6 isoform X1
BGLAP,104829672,osteocalcin
LOC104829733,104829733,polyamine-modulated factor 1-like
SLC25A44,104829673,solute carrier family 25 member 44
SEMA4A,104829674,semaphorin-4A isoform X1
LMNA,104829675,lamin
MEX3A,104829734,RNA-binding protein MEX3A
LOC104829735,104829735,ras-related protein Rab-11A-like
RAB25,104829677,ras-related protein Rab-25 isoform X1
LAMTOR2,104829676,ragulator complex protein LAMTOR2
UBQLN4,104829736,ubiquilin-4
GPATCH4,104829737,G patch domain-containing protein 4
APOA1BP,104829678,NAD(P)H-hydrate epimerase
TTC24,104829738,tetratricopeptide repeat protein 24
IQGAP3,104829679,ras GTPase-activating-like protein IQGAP3
MEF2D,104829680,myocyte-specific enhancer factor 2D isoform X1
RHBG,104829739,ammonium transporter Rh type B
HAPLN2,104829740,hyaluronan and proteoglycan link protein 2
BCAN,104829741,brevican core protein
NES,104829742,nestin
LOC104829681,104829681,dnaJ homolog subfamily A member 1-like
CRABP2,104829743,cellular retinoic acid-binding protein 2
ISG20L2,104829682,interferon-stimulated 20 kDa exonuclease-like 2
RRNAD1,104829744,protein RRNAD1
MRPL24,104829683,"39S ribosomal protein L24, mitochondrial"
HDGF,104829684,hepatoma-derived growth factor isoform X1
PRCC,104829685,proline-rich protein PRCC
SH2D2A,104829745,SH2 domain-containing protein 2A
LOC104829746,104829746,death-associated protein kinase 2-like
INSRR,104829747,insulin receptor-related protein
NTRK1,104829748,high affinity nerve growth factor receptor
PEAR1,104829686,platelet endothelial aggregation receptor 1 isoform X1
LRRC71,104829749,leucine-rich repeat-containing protein 71
ARHGEF11,104829752,rho guanine nucleotide exchange factor 11
LOC104829753,104829753,ETS translocation variant 3-like protein
LOC104829687,104829687,ETS translocation variant 3-like isoform X1
LOC104829754,104829754,uncharacterized protein LOC104829754
KIRREL,104829688,kin of IRRE-like protein 1
LOC104829755,104829755,natural killer cell receptor 2B4-like
LOC104829756,104829756,natural killer cell receptor 2B4-like
LOC104829689,104829689,CD48 antigen-like isoform X1
SLAMF1,104829690,signaling lymphocytic activation molecule
LOC104829691,104829691,SLAM family member 5-like
LOC104829692,104829692,uncharacterized protein LOC104829692
VANGL2,104829693,vang-like protein 2 isoform X1
NHLH1,104829694,helix-loop-helix protein 1
NCSTN,104829695,nicastrin isoform X1
COPA,104829697,coatomer subunit alpha
S100A11,104829696,protein S100-A11
LOC104829757,104829757,trichohyalin-like
LOC104829758,104829758,LOW QUALITY PROTEIN: cornulin-like
LOC104829759,104829759,keratin-associated protein 9-1-like
LOC104829760,104829760,keratinocyte proline-rich protein-like
LOC104829761,104829761,keratin-associated protein 10-6-like
LOC104829698,104829698,uncharacterized protein LOC104829698
LOC104829699,104829699,feather keratin 4-like
LOC104829700,104829700,scale keratin-like
LOC104829701,104829701,scale keratin-like isoform X1
LOC104829702,104829702,scale keratin-like
